"#","Node","Tgw","Tgnum","Tanggal","Area","Segmen","Opr","sub_opr","Xch","To Xch","Attempt","Seiz","Conn","Answ","seiz_t","con_t","ans_t","Cct","idle_cct","dial_tout","Occupied","Vacant","Incomplete","rel_early","rel_ring","tg_busy","sub_busy","ring_tout","res_una","Restricts","auth_fail","med_una","Unreach","lack_cap","s_congest","iad_off","n_unspec","protocol_err","Rejected","Intercept","t_control","Lost","seiz_traf","con_traf","ans_traf","Iasr","Pi_traf","Pocc"
"11","BM1S","BM1G","217","2020-09-01","REG6","sljj","telkom","netre-kal","BM1G","JK2G","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","BM1S","BM1G","215","2020-09-01","REG6","sljj","telkom","netre-kal","BM1G","JK1G","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","BM1S","BP1G","114","2020-09-01","REG6","sljj","telkom","netre-kal","BP1G","BJMA","0","0","0","0","0","0","0","248","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","BM1S","DEFAULT_NODE_REMARK","967","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","BM1S","DEFAULT_NODE_REMARK","911","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","BM1S","BP1G","881","2020-09-01","","","","","","","0","0","0","0","0","0","0","15","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","BM1S","BP1G","882","2020-09-01","","","","","","","0","0","0","0","0","0","0","15","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","BM1S","BM1G","712","2020-09-01","","","","","","","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","BM1S","BM1G","612","2020-09-01","","","","","","","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","BM1S","MSAN01-D6-KTBN-3-MRA","415","2020-09-01","","","","","","","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","BM1S","MSAN01-D6-KTBN-3-MRA","414","2020-09-01","","","","","","","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","BM1S","BM1G","410","2020-09-01","","","","","","","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","BM1S","BM1G","361","2020-09-01","REG6","sljj","telkom","netre-kal","BM1G","DP1G","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","BM1S","BM1G","242","2020-09-01","","","","","","","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","BM1S","BM1G","223","2020-09-01","","","","","","","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","BM1S","BM1G","204","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","BM1S","BM1G","133","2020-09-01","REG6","sljj","telkom","netre-kal","BM1G","SB1G","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","BM1S","DEFAULT_NODE_REMARK","113","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","BM1S","BP1G","41","2020-09-01","","","","","","","60","60","36","32","5602","5446","5204","60","0","0","2","6","4","0","6","0","2","6","0","0","0","0","0","0","0","0","0","2","0","0","0","4","0.06","0.06","0.06","53.33","1.18","6.67"
"30","BM1S","BP1G","40","2020-09-01","REG6","fwa","olo","undef","BP1G","x","0","0","0","0","0","0","0","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","BM1S","BM1G","5","2020-09-01","REG6","teni","telkom","netre-kal","BM1G","RAS TELKOMNET","0","0","0","0","0","0","0","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","BM1S","BM1G","851","2020-09-01","REG6","voip","telkom","netre-kal","BM1G","Telkom_Voip","0","0","0","0","0","0","0","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","BM1S","BP1G","880","2020-09-01","REG6","voip","telkom","netre-kal","BP1G","Voip_Telkom","0","0","0","0","0","0","0","93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","BM1S","PT1G","610","2020-09-01","REG6","sljj","telkom","netre-kal","PT1G","PTKC","0","0","0","0","0","0","0","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","BM1S","BP1G","542","2020-09-01","REG6","sljj","telkom","netre-kal","BP1G","BP1T","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","BM1S","DEFAULT_NODE_REMARK","511","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","BM1S","BP1G","510","2020-09-01","REG6","sljj","telkom","netre-kal","BP1G","TRKN","0","0","0","0","0","0","0","248","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","BM1S","BM1G","422","2020-09-01","REG6","sljj","telkom","netre-kal","BM1G","GSA1","0","0","0","0","0","0","0","248","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","BM1S","BP1G","421","2020-09-01","REG6","sljj","telkom","netre-kal","BP1G","GSA2","0","0","0","0","0","0","0","419","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","BM1S","BP1G","420","2020-09-01","REG6","sljj","telkom","netre-kal","BP1G","GSA1","0","0","0","0","0","0","0","682","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","BM1S","BM1G","412","2020-09-01","REG6","sljj","telkom","netre-kal","BM1G","SMRC","0","0","0","0","0","0","0","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","BM1S","BP1G","411","2020-09-01","REG6","sljj","telkom","netre-kal","BP1G","SMRC","0","0","0","0","0","0","0","300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","BM1S","BM1G","360","2020-09-01","REG6","sljj","telkom","netre-kal","BM1G","PLK1","0","0","0","0","0","0","0","327","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","BM1S","BM1G","310","2020-09-01","REG6","sljj","telkom","netre-kal","BM1G","SMPT","0","0","0","0","0","0","0","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","BM1S","BM1G","112","2020-09-01","REG6","sljj","telkom","netre-kal","BM1G","ULIN","0","0","0","0","0","0","0","239","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","BM1S","BM1G","111","2020-09-01","REG6","sljj","telkom","netre-kal","BM1G","BJMB","0","0","0","0","0","0","0","210","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","BM1S","BM1G","110","2020-09-01","REG6","sljj","telkom","netre-kal","BM1G","BJMA","0","0","0","0","0","0","0","217","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","BM1S","BP1G","897","2020-09-01","REG6","cell","olo","telkomsel","BP1G","TSEL_BPP2","581810","581810","545607","205943","26069278","23789407","16742735","2356","1016","0","1310","2161","953","11755","218130","0","8670","6767","751","3352","0","2","2305","279","20","0","111465","7335","0","0","0","123304","301.73","275.34","193.78","35.4","612.47","55.6"
"49","BM1S","BP1G","521","2020-09-01","REG6","cell","olo","PT Natrindo Seluler","BP1G","NTS_BP","0","0","0","0","0","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","BM1S","BP1G","368","2020-09-01","REG6","undef","undef","undef","undef","undef","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","BM1S","DEFAULT_NODE_REMARK","119","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","BM1S","DEFAULT_NODE_REMARK","118","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","BM1S","BP1G","108","2020-09-01","REG6","undef","undef","undef","undef","undef","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","BM1S","BP1G","107","2020-09-01","REG6","undef","undef","undef","undef","undef","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","BM1S","BP1G","100","2020-09-01","REG6","cell","olo","Smart Fren","BP1G","SFREN_BP","20778","20778","20054","2508","582727","519196","172596","31","6","0","26","105","17","0","8","4","301","208","439","4","0","0","7","17","0","0","17013","32","0","0","0","17084","6.74","6.01","2","12.07","21.13","83.87"
"56","BM1S","BP1G","896","2020-09-01","REG6","cell","olo","telkomsel","BP1G","TSEL_BPP1","0","0","0","0","0","0","0","279","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","BM1S","DEFAULT_NODE_REMARK","829","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","BM1S","DEFAULT_NODE_REMARK","828","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","BM1S","DEFAULT_NODE_REMARK","827","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","BM1S","DEFAULT_NODE_REMARK","826","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","BM1S","DEFAULT_NODE_REMARK","825","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","BM1S","DEFAULT_NODE_REMARK","824","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","BM1S","BP1G","823","2020-09-01","REG6","sli","olo","bakrie telecom","BP1G","Esia_BT_009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","BM1S","BP1G","822","2020-09-01","REG6","sli","olo","bakrie telecom","BP1G","Esia_BT_007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","BM1S","BP1G","821","2020-09-01","REG6","sljj","olo","bakrie telecom","BP1G","Esia_BT_SLJJ","0","0","0","0","0","0","0","182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","BM1S","DEFAULT_NODE_REMARK","820","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","BM1S","BP1G","760","2020-09-01","REG6","cell","olo","indosat","BP1G","ISAT2_BPP","451343","451343","431151","144561","19679298","17408230","12090909","1837","589","0","979","487","728","12259","147173","8","4312","1413","417","38","0","3","1775","8","1","0","134000","1444","0","0","0","139279","227.77","201.48","139.94","32.03","496.44","53.29"
"68","BM1S","BP1G","393","2020-09-01","REG6","cell","olo","XL Axiata","BP1G","XL_BP","169967","169967","164281","27964","6146547","5576209","2637521","543","83","0","248","1050","196","2203","25187","0","4108","998","192","96","0","0","103","0","0","0","104103","892","27","0","0","105943","71.14","64.54","30.53","16.45","144.94","45.67"
"69","BM1S","BP1G","336","2020-09-01","REG6","fwa","olo","indosat","BP1G","ISAT_BPP001","0","0","0","0","0","0","0","30","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","BM1S","BP1G","335","2020-09-01","REG6","fwa","olo","indosat","BP1G","ISAT_BPPLok","804","804","232","107","13376","11751","7240","91","88","0","2","313","6","0","0","0","29","198","13","0","0","0","0","0","1","0","117","13","0","0","0","138","0.15","0.14","0.08","13.31","1.63","2.2"
"71","BM1S","BP1G","317","2020-09-01","REG6","sljj","olo","indosat","BP1G","ISAT_SMRLok","0","0","0","0","0","0","0","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"72","BM1S","BP1G","186","2020-09-01","REG6","cell","olo","H3I","BP1G","H3I_BP","58018","58018","55140","11226","1990980","1772045","881410","124","21","0","102","590","91","794","10604","4","725","512","29","8","0","0","47","0","2","0","32657","134","0","0","0","33037","23.04","20.51","10.2","19.35","54.07","82.26"
"73","BM1S","BM1G","909","2020-09-01","REG6","fwa","olo","bakrie telecom","BM1G","BTEL_PL_lkl","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"74","BM1S","BM1G","832","2020-09-01","","","","","","","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","BM1S","BM1G","811","2020-09-01","REG6","cell","olo","telkomsel","BM1G","TSEL_BJM2","745581","745581","692048","269743","27663199","24896626","15825705","2945","1604","0","1337","3414","447","15171","249940","0","15543","11242","1588","325","0","1","960","215","1","0","168490","6215","0","0","0","178122","320.18","288.16","183.17","36.18","651.89","45.4"
"76","BM1S","DEFAULT_NODE_REMARK","369","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77","BM1S","BM1G","942","2020-09-01","REG6","fwa","olo","Smart Fren","BM1G","SFREN_BJMLok","0","0","0","0","0","0","0","29","29","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.45"
"78","BM1S","BM1G","941","2020-09-01","REG6","sljj","olo","mobile 8","BM1G","Mobile8_SLJJ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"79","BM1S","BM1G","940","2020-09-01","REG6","cell","olo","Smart Fren","BM1G","SFREN_BJM","15806","15806","15239","1993","454294","405665","141592","30","5","0","26","34","2","0","12","5","192","159","480","1","0","0","2","0","0","0","12817","25","0","0","0","12854","5.26","4.7","1.64","12.61","15.79","86.67"
"80","BM1S","DEFAULT_NODE_REMARK","907","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"81","BM1S","DEFAULT_NODE_REMARK","906","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"82","BM1S","DEFAULT_NODE_REMARK","905","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","BM1S","DEFAULT_NODE_REMARK","904","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"84","BM1S","DEFAULT_NODE_REMARK","903","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85","BM1S","DEFAULT_NODE_REMARK","902","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"86","BM1S","BM1G","901","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"87","BM1S","DEFAULT_NODE_REMARK","900","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"88","BM1S","BM1G","890","2020-09-01","REG6","cell","olo","H3I","BM1G","H3I_BM","49520","49520","46817","10272","1716875","1528150","797214","121","26","0","96","612","88","771","9540","2","786","405","34","31","0","0","71","2","1","0","26245","92","0","0","0","26607","19.87","17.69","9.23","20.74","45.67","79.34"
"89","BM1S","BM1G","860","2020-09-01","REG6","cell","olo","XL Axiata","BM1G","XL_BM","152911","152911","145589","34964","5990263","5427680","2975616","988","659","0","330","1676","752","2675","30553","0","3463","1056","93","81","0","0","123","1","0","0","74544","688","36","0","0","76143","69.33","62.82","34.44","22.87","141.69","33.4"
"90","BM1S","BM1G","831","2020-09-01","REG6","fwa","olo","indosat","BM1G","ISAT_BMLok","543","543","142","15","6973","3719","1423","93","0","0","3","312","29","8","79","0","1","47","1","13","0","0","0","0","0","0","35","3","0","0","0","38","0.08","0.04","0.02","2.76","0.78","3.23"
"91","BM1S","BM1G","830","2020-09-01","REG6","cell","olo","indosat","BM1G","ISAT_BM","426921","426921","405067","128395","17439357","15362029","10651371","2015","1131","0","885","562","90","10758","126976","0","8510","1681","1012","53","0","0","123","7","0","0","145935","1018","0","0","0","148354","201.84","177.8","123.28","30.07","434.01","43.92"
"92","BM1S","BM1G","810","2020-09-01","REG6","voip","telkom","netre-kal","BM1G","Telkomsel_BJM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"93","BM1S","BP1G","60","2020-09-01","REG6","fwa","olo","undef","BP1G","x","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"94","BM1S","BP1G","54","2020-09-01","REG6","sljj","telkom","netre-jkt","BM1S","JK1S","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","BM1S","BP1G","53","2020-09-01","REG6","sljj","telkom","netre-jkt","BM1S","JK2S","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","BM1S","BP1G","49","2020-09-01","REG6","fwa","olo","undef","BP1G","x","148","148","111","60","9701","8474","6966","60","29","0","2","5","0","24","34","0","0","2","1","5","0","0","0","0","0","0","16","0","0","0","0","17","0.11","0.1","0.08","40.54","1.15","3.33"
"97","BM1S","BP1G","48","2020-09-01","REG6","fwa","olo","undef","BP1G","x","37","37","35","16","5419","5277","4685","60","58","0","2","0","0","1","16","0","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","3","0.06","0.06","0.05","43.24","1.15","3.33"
"98","BM1S","BP1G","47","2020-09-01","REG6","isdn","olo","pln","BP1G","PLN123","0","0","0","0","0","0","0","60","50","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.33"
"99","BM1S","BM1G","46","2020-09-01","REG6","undef","undef","undef","undef","undef","7","7","5","4","636","634","579","60","60","0","1","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.01","0.01","0.01","57.14","0.25","1.67"
"100","BM1S","BP1G","45","2020-09-01","REG6","fwa","olo","undef","BP1G","x","0","0","0","0","0","0","0","30","30","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.33"
"101","BM1S","BP1G","44","2020-09-01","REG6","fwa","olo","undef","BP1G","x","1700","1700","1646","1244","135077","131513","118669","30","25","0","6","0","0","6","273","0","6","31","0","0","0","0","0","0","0","0","118","22","0","0","0","140","1.56","1.52","1.37","73.18","4.56","20"
"102","BM1S","BP1G","43","2020-09-01","REG6","fwa","olo","undef","BP1G","SLHT","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","BM1S","BP1G","42","2020-09-01","","","","","","","41","41","38","26","6949","6431","5924","30","29","0","2","0","1","2","8","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","4","0.08","0.07","0.07","63.41","1.07","6.67"
"104","MK1S","Makassar","22","2020-09-01","","","","","","","0","0","0","0","0","0","0","30","29","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.67"
"105","MK1S","Makassar","62","2020-09-01","REG7","sljj","telkom","netre-sumbagsel","MK1S","PG1S","0","0","0","0","0","0","0","30","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.33"
"106","MK1S","DEFAULT_NODE_REMARK","952","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
