"#","Node","Tgw","Tgnum","Tanggal","Area","Segmen","Opr","sub_opr","Xch","To Xch","Attempt","Seiz","Conn","Answ","seiz_t","con_t","ans_t","Cct","idle_cct","dial_tout","Occupied","Vacant","Incomplete","rel_early","rel_ring","tg_busy","sub_busy","ring_tout","res_una","Restricts","auth_fail","med_una","Unreach","lack_cap","s_congest","iad_off","n_unspec","protocol_err","Rejected","Intercept","t_control","Lost","seiz_traf","con_traf","ans_traf","Oasr","Po_traf","Pocc"
"20","BM1S","BM1G","412","2020-09-01","REG6","sljj","telkom","netre-kal","BM1G","SMRC","0","0","0","0","0","0","0","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","BM1S","BP1G","411","2020-09-01","REG6","sljj","telkom","netre-kal","BP1G","SMRC","0","0","0","0","0","0","0","300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","BM1S","BM1G","360","2020-09-01","REG6","sljj","telkom","netre-kal","BM1G","PLK1","0","0","0","0","0","0","0","327","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","BM1S","BM1G","310","2020-09-01","REG6","sljj","telkom","netre-kal","BM1G","SMPT","0","0","0","0","0","0","0","120","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","BM1S","BM1G","112","2020-09-01","REG6","sljj","telkom","netre-kal","BM1G","ULIN","0","0","0","0","0","0","0","239","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","BM1S","BM1G","111","2020-09-01","REG6","sljj","telkom","netre-kal","BM1G","BJMB","0","0","0","0","0","0","0","210","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","BM1S","BM1G","110","2020-09-01","REG6","sljj","telkom","netre-kal","BM1G","BJMA","0","0","0","0","0","0","0","217","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","BM1S","BP1G","897","2020-09-01","REG6","cell","olo","telkomsel","BP1G","TSEL_BPP2","833539","833539","798991","216301","33980733","29673055","18361395","2356","1016","0","1310","585","141","22716","244161","0","10486","2701","683","169","0","3","1979","11","0","0","323919","2688","0","3","0","331668","393.3","343.44","212.52","25.95","756.2","55.6"
"28","BM1S","BP1G","521","2020-09-01","REG6","cell","olo","PT Natrindo Seluler","BP1G","NTS_BP","0","0","0","0","0","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","BM1S","BP1G","368","2020-09-01","REG6","undef","undef","undef","undef","undef","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","BM1S","DEFAULT_NODE_REMARK","119","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","BM1S","DEFAULT_NODE_REMARK","118","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","BM1S","BP1G","114","2020-09-01","REG6","sljj","telkom","netre-kal","BP1G","BJMA","0","0","0","0","0","0","0","248","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","BM1S","BP1G","108","2020-09-01","REG6","undef","undef","undef","undef","undef","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","BM1S","BP1G","107","2020-09-01","REG6","undef","undef","undef","undef","undef","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","BM1S","BP1G","100","2020-09-01","REG6","cell","olo","Smart Fren","BP1G","SFREN_BP","5004","4988","4582","1021","156308","145522","80491","31","6","0","26","345","0","58","2182","0","37","91","214","71","0","0","9","0","0","0","937","21","0","0","0","969","1.81","1.68","0.93","20.47","6.34","83.87"
"36","BM1S","BP1G","43","2020-09-01","REG6","fwa","olo","undef","BP1G","SLHT","2","0","0","0","0","0","0","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","BM1S","BP1G","42","2020-09-01","","","","","","","16","16","16","12","3154","3148","2966","60","29","0","2","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.04","0.04","0.03","75","0.46","6.67"
"38","BM1S","BP1G","896","2020-09-01","REG6","cell","olo","telkomsel","BP1G","TSEL_BPP1","0","0","0","0","0","0","0","279","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","BM1S","DEFAULT_NODE_REMARK","829","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","BM1S","DEFAULT_NODE_REMARK","828","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","BM1S","DEFAULT_NODE_REMARK","827","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","BM1S","DEFAULT_NODE_REMARK","826","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","BM1S","DEFAULT_NODE_REMARK","825","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","BM1S","DEFAULT_NODE_REMARK","824","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","BM1S","BP1G","823","2020-09-01","REG6","sli","olo","bakrie telecom","BP1G","Esia_BT_009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","BM1S","BP1G","822","2020-09-01","REG6","sli","olo","bakrie telecom","BP1G","Esia_BT_007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","BM1S","BP1G","821","2020-09-01","REG6","sljj","olo","bakrie telecom","BP1G","Esia_BT_SLJJ","0","0","0","0","0","0","0","182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","BM1S","DEFAULT_NODE_REMARK","820","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","BM1S","BP1G","760","2020-09-01","REG6","cell","olo","indosat","BP1G","ISAT2_BPP","440233","440233","420173","156865","18634122","16816626","11579849","1837","589","0","979","119","490","8991","171935","0","2679","4","270","19","0","0","1939","181","0","0","90403","4867","0","0","0","98860","215.67","194.64","134.03","35.63","477.79","53.29"
"50","BM1S","BP1G","393","2020-09-01","REG6","cell","olo","XL Axiata","BP1G","XL_BP","84580","84580","79355","24030","3780619","3412221","2208960","543","83","0","248","16","7","1445","30034","0","2533","4004","190","7","0","1","171","7","0","0","20112","1802","0","0","0","22311","43.76","39.49","25.57","28.41","93.55","45.67"
"51","BM1S","BP1G","336","2020-09-01","REG6","fwa","olo","indosat","BP1G","ISAT_BPP001","0","0","0","0","0","0","0","30","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","BM1S","BP1G","335","2020-09-01","REG6","fwa","olo","indosat","BP1G","ISAT_BPPLok","235","235","175","39","4864","4167","2485","91","88","0","2","44","0","11","95","0","0","1","2","25","0","0","2","0","0","0","13","0","0","0","0","18","0.06","0.05","0.03","16.6","0.48","2.2"
"53","BM1S","BP1G","317","2020-09-01","REG6","sljj","olo","indosat","BP1G","ISAT_SMRLok","0","0","0","0","0","0","0","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","BM1S","BP1G","186","2020-09-01","REG6","cell","olo","H3I","BP1G","H3I_BP","44283","44283","43027","13848","2000642","1832482","1138779","124","21","0","102","34","0","899","18226","0","1212","2185","11","0","0","1","143","4","0","0","7626","61","0","0","0","7868","23.16","21.21","13.18","31.27","47.11","82.26"
"55","BM1S","BM1G","909","2020-09-01","REG6","fwa","olo","bakrie telecom","BM1G","BTEL_PL_lkl","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56","BM1S","BM1G","811","2020-09-01","REG6","cell","olo","telkomsel","BM1G","TSEL_BJM2","760532","760532","729326","210148","31539590","27622961","17633772","2945","1604","0","1337","1280","108","21605","213874","0","9749","2123","860","144","0","0","375","11","0","0","292908","1962","0","0","0","297588","365.04","319.71","204.09","27.63","674.29","45.4"
"57","BM1S","PT1G","640","2020-09-01","REG6","pstn","telkom","netre-kal","PT1G","LE SANGGAU","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","BM1S","DEFAULT_NODE_REMARK","369","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","BM1S","BM1G","361","2020-09-01","REG6","sljj","telkom","netre-kal","BM1G","DP1G","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","BM1S","PT1G","340","2020-09-01","REG6","pstn","telkom","netre-kal","PT1G","LE Ketapang","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","BM1S","BM1G","217","2020-09-01","REG6","sljj","telkom","netre-kal","BM1G","JK2G","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","BM1S","BM1G","810","2020-09-01","REG6","voip","telkom","netre-kal","BM1G","Telkomsel_BJM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","BM1S","BM1G","830","2020-09-01","REG6","cell","olo","indosat","BM1G","ISAT_BM","486868","486868","460013","189671","17786548","15822086","10142517","2015","1131","0","885","27","6","9686","168800","0","2462","5","363","61","0","0","338","165","0","0","113263","716","0","0","0","115787","205.86","183.13","117.39","38.96","439.36","43.92"
"64","BM1S","BM1G","831","2020-09-01","REG6","fwa","olo","indosat","BM1G","ISAT_BMLok","32","32","1","0","465","5","0","93","0","0","3","0","0","8","1","0","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0.01","0","0","0","0.1","3.23"
"65","BM1S","BM1G","860","2020-09-01","REG6","cell","olo","XL Axiata","BM1G","XL_BM","203319","203319","190429","60034","7915041","7126298","4270497","988","659","0","330","36","13","4110","69273","0","5341","6755","453","16","0","0","413","17","0","0","51517","4712","0","0","0","57275","91.61","82.48","49.43","29.53","179.81","33.4"
"66","BM1S","BM1G","890","2020-09-01","REG6","cell","olo","H3I","BM1G","H3I_BM","60243","60243","58532","16345","2185693","1956013","1092443","121","26","0","96","27","0","1082","22518","0","1685","2301","43","2","0","0","194","7","0","0","15930","68","0","0","0","16240","25.3","22.64","12.64","27.13","50.36","79.34"
"67","BM1S","BM1G","215","2020-09-01","REG6","sljj","telkom","netre-kal","BM1G","JK1G","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","BM1S","BM1G","133","2020-09-01","REG6","sljj","telkom","netre-kal","BM1G","SB1G","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","BM1S","BM1G","901","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","BM1S","BP1G","41","2020-09-01","","","","","","","4","4","4","4","38","38","32","60","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0.02","6.67"
"71","BM1S","DEFAULT_NODE_REMARK","903","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"72","BM1S","BP1G","40","2020-09-01","REG6","fwa","olo","undef","BP1G","x","0","0","0","0","0","0","0","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","BM1S","DEFAULT_NODE_REMARK","905","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"74","BM1S","DEFAULT_NODE_REMARK","906","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","BM1S","DEFAULT_NODE_REMARK","907","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","BM1S","BM1G","940","2020-09-01","REG6","cell","olo","Smart Fren","BM1G","SFREN_BJM","7468","7433","6497","1715","261251","233685","149880","30","5","0","26","886","0","96","2845","0","78","74","273","183","0","1","1","0","0","0","1260","18","0","0","0","1283","3.02","2.7","1.73","23.07","9.31","86.67"
"77","BM1S","BM1G","941","2020-09-01","REG6","sljj","olo","mobile 8","BM1G","Mobile8_SLJJ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","BM1S","BM1G","942","2020-09-01","REG6","fwa","olo","Smart Fren","BM1G","SFREN_BJMLok","136","136","128","0","1927","1606","0","29","29","0","1","0","0","8","127","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0.02","0.02","0","0","0.15","3.45"
"79","BM1S","BP1G","60","2020-09-01","REG6","fwa","olo","undef","BP1G","x","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80","BM1S","BP1G","54","2020-09-01","REG6","sljj","telkom","netre-jkt","BM1S","JK1S","7","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"81","BM1S","BP1G","53","2020-09-01","REG6","sljj","telkom","netre-jkt","BM1S","JK2S","1","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"82","BM1S","BP1G","49","2020-09-01","REG6","fwa","olo","undef","BP1G","x","59","59","59","42","3410","3392","2806","60","29","0","2","0","0","0","5","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","12","0.04","0.04","0.03","71.19","0.53","3.33"
"83","BM1S","BP1G","48","2020-09-01","REG6","fwa","olo","undef","BP1G","x","12","12","11","10","2236","2233","2221","60","58","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.03","0.03","0.03","83.33","1.07","3.33"
"84","BM1S","BM1G","46","2020-09-01","REG6","undef","undef","undef","undef","undef","16","16","16","16","2357","2352","2320","60","60","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.03","0.03","0.03","100","0.56","1.67"
"85","BM1S","BP1G","45","2020-09-01","REG6","fwa","olo","undef","BP1G","x","11","11","11","11","266","265","259","30","30","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0.13","3.33"
"86","BM1S","BP1G","44","2020-09-01","REG6","fwa","olo","undef","BP1G","x","0","0","0","0","0","0","0","30","25","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20"
"87","MK1S","Makassar","22","2020-09-01","","","","","","","286","286","0","0","5182","0","0","30","29","0","2","0","0","122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","164","0.06","0","0","0","0.34","6.67"
"88","MK1S","Makassar","62","2020-09-01","REG7","sljj","telkom","netre-sumbagsel","MK1S","PG1S","1306","1297","1062","741","110652","109131","86788","30","0","0","7","70","0","11","203","0","17","115","56","0","0","0","0","0","0","0","76","8","0","0","0","84","1.28","1.26","1","57.13","5.61","23.33"
"89","MK1S","Makassar","961","2020-09-01","REG7","sljj","telkom","TELKOM","MK1G","MKS_HAS-OLO","28828","28828","24991","7437","1030610","972811","623178","29","2","0","28","3173","0","348","11355","0","170","349","1236","535","0","1","9","0","0","0","4183","15","0","0","0","4225","11.93","11.26","7.21","25.8","22.85","96.55"
"90","MK1S","DEFAULT_NODE_REMARK","952","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"91","MK1S","DEFAULT_NODE_REMARK","951","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"92","MK1S","Makassar","881","2020-09-01","REG7","cell","olo","PT Natrindo Seluler","MK1G","NTS_MKS","0","0","0","0","0","0","0","182","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"93","MK1S","Makassar","880","2020-09-01","REG7","voip","telkom","netre-kti","MK1G","VOIP_Telkom","0","0","0","0","0","0","0","186","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"94","MK1S","Makassar","863","2020-09-01","REG7","fwa","telkom","netre-kti","MK1G","N7MKFXSM","0","0","0","0","0","0","0","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","MK1S","Makassar","836","2020-09-01","REG7","fwa","olo","indosat","MK1G","ISAT_KdrLok","0","0","0","0","0","0","0","124","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","MK1S","Makassar","835","2020-09-01","REG7","fwa","olo","indosat","MK1G","ISAT_PreLok","0","0","0","0","0","0","0","124","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"97","MK1S","MANADO","812","2020-09-01","REG7","cell","olo","telkomsel","MO1G","TSEL_MO2","1159912","1159912","1113680","242898","40707582","36812038","17651958","3906","892","0","845","818","24","14002","279722","0","6184","650","2570","640","0","9192","350","22","0","0","575802","22800","0","452","0","609764","471.15","426.07","204.31","20.94","483.36","43.27"
"98","MK1S","Makassar","217","2020-09-01","","","","","","","0","0","0","0","0","0","0","31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"99","MK1S","DEFAULT_NODE_REMARK","968","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100","MK1S","DEFAULT_NODE_REMARK","132","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"101","MK1S","DEFAULT_NODE_REMARK","912","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102","MK1S","DEFAULT_NODE_REMARK","920","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","MK1S","DEFAULT_NODE_REMARK","911","2020-09-01","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
